kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
000000,Neznámá obec,262,181,181,23,"0,00",19,2,22,11,0,0,"0,00","10,49",0,"0,00",13,"7,18",1,"0,55","1,10",0,"0,00",0,"0,00",0,"0,00","12,15"
000000,Neznámá obec,135,102,101,12,"0,00",10,0,16,12,0,0,"0,00","9,90",0,"0,00",6,"5,94",1,"0,99","0,00",3,"2,97",0,"0,00",0,"0,00","15,84"
000000,Neznámá obec,272,152,152,21,"0,00",12,3,18,6,0,0,"0,00","7,89",0,"0,00",13,"8,55",3,"1,97","1,97",2,"1,31",1,"0,65",0,"0,00","11,84"
000000,Neznámá obec,155,99,99,7,"0,00",9,0,8,14,0,0,"0,00","9,09",0,"0,00",10,"10,10",0,"0,00","0,00",4,"4,04",0,"0,00",0,"0,00","8,08"
000000,Neznámá obec,243,172,171,11,"0,58",19,3,22,40,1,0,"0,00","11,11",0,"0,00",13,"7,60",3,"1,75","1,75",2,"1,16",0,"0,00",0,"0,00","12,86"
000000,Neznámá obec,1438,894,883,99,"0,11",70,7,128,83,1,1,"0,11","7,92",1,"0,11",49,"5,54",14,"1,58","0,79",13,"1,47",3,"0,33",0,"0,00","14,49"
000000,Neznámá obec,847,625,619,90,"0,00",35,5,101,54,0,0,"0,00","5,65",0,"0,00",40,"6,46",11,"1,77","0,80",7,"1,13",0,"0,00",0,"0,00","16,31"
000000,Neznámá obec,749,489,487,75,"0,00",23,9,51,54,0,0,"0,00","4,72",3,"0,61",34,"6,98",2,"0,41","1,84",10,"2,05",0,"0,00",0,"0,00","10,47"
000000,Neznámá obec,2508,1645,1639,246,"0,00",87,8,242,115,0,3,"0,18","5,30",2,"0,12",118,"7,19",18,"1,09","0,48",35,"2,13",2,"0,12",1,"0,06","14,76"
000000,Neznámá obec,568,354,353,53,"0,28",22,3,41,45,1,0,"0,00","6,23",1,"0,28",20,"5,66",2,"0,56","0,84",5,"1,41",0,"0,00",0,"0,00","11,61"
000000,Neznámá obec,810,418,414,36,"0,48",23,5,50,40,2,0,"0,00","5,55",0,"0,00",21,"5,07",10,"2,41","1,20",4,"0,96",1,"0,24",0,"0,00","12,07"
000000,Neznámá obec,1263,811,806,131,"0,24",33,8,108,61,2,0,"0,00","4,09",2,"0,24",53,"6,57",14,"1,73","0,99",24,"2,97",0,"0,00",1,"0,12","13,39"
000000,Neznámá obec,188,131,129,16,"0,00",9,2,14,6,0,0,"0,00","6,97",0,"0,00",20,"15,50",1,"0,77","1,55",1,"0,77",0,"0,00",0,"0,00","10,85"
000000,Neznámá obec,141,100,100,13,"0,00",4,1,7,15,0,0,"0,00","4,00",0,"0,00",16,"16,00",0,"0,00","1,00",1,"1,00",1,"1,00",0,"0,00","7,00"
000000,Neznámá obec,830,564,563,92,"0,17",43,4,66,40,1,1,"0,17","7,63",2,"0,35",42,"7,46",3,"0,53","0,71",10,"1,77",1,"0,17",0,"0,00","11,72"
000000,Neznámá obec,366,226,224,19,"0,00",16,2,24,34,0,0,"0,00","7,14",0,"0,00",7,"3,12",4,"1,78","0,89",4,"1,78",1,"0,44",1,"0,44","10,71"
000000,Neznámá obec,255,140,140,11,"0,71",7,0,8,17,1,1,"0,71","5,00",0,"0,00",12,"8,57",0,"0,00","0,00",1,"0,71",0,"0,00",0,"0,00","5,71"
000000,Neznámá obec,282,141,141,14,"0,00",7,0,20,11,0,0,"0,00","4,96",0,"0,00",5,"3,54",2,"1,41","0,00",1,"0,70",0,"0,00",1,"0,70","14,18"
000000,Neznámá obec,482,381,381,78,"0,00",18,3,60,31,0,0,"0,00","4,72",0,"0,00",22,"5,77",2,"0,52","0,78",2,"0,52",0,"0,00",1,"0,26","15,74"
000000,Neznámá obec,214,144,142,34,"0,00",10,0,6,11,0,0,"0,00","7,04",0,"0,00",8,"5,63",1,"0,70","0,00",1,"0,70",0,"0,00",0,"0,00","4,22"
000000,Neznámá obec,99,60,60,4,"0,00",6,0,3,11,0,0,"0,00","10,00",0,"0,00",1,"1,66",0,"0,00","0,00",3,"5,00",0,"0,00",0,"0,00","5,00"
000000,Neznámá obec,415,192,191,19,"0,52",10,0,12,31,1,0,"0,00","5,23",0,"0,00",19,"9,94",1,"0,52","0,00",5,"2,61",0,"0,00",0,"0,00","6,28"
000000,Neznámá obec,915,573,568,85,"0,00",28,5,68,40,0,0,"0,00","4,92",1,"0,17",36,"6,33",9,"1,58","0,88",8,"1,40",1,"0,17",2,"0,35","11,97"
000000,Neznámá obec,409,264,263,41,"0,00",9,1,43,17,0,0,"0,00","3,42",0,"0,00",15,"5,70",1,"0,38","0,38",2,"0,76",0,"0,00",0,"0,00","16,34"
000000,Neznámá obec,392,251,250,26,"0,00",18,4,22,23,0,0,"0,00","7,20",0,"0,00",8,"3,20",1,"0,40","1,60",8,"3,20",0,"0,00",0,"0,00","8,80"
000000,Neznámá obec,1528,979,946,142,"0,10",37,5,140,43,1,1,"0,10","3,91",0,"0,00",65,"6,87",7,"0,73","0,52",21,"2,21",1,"0,10",1,"0,10","14,79"
000000,Neznámá obec,204,124,124,8,"0,00",12,0,14,13,0,0,"0,00","9,67",1,"0,80",11,"8,87",3,"2,41","0,00",1,"0,80",0,"0,00",0,"0,00","11,29"
000000,Neznámá obec,228,137,137,12,"0,00",5,4,13,28,0,0,"0,00","3,64",1,"0,72",9,"6,56",1,"0,72","2,91",0,"0,00",0,"0,00",0,"0,00","9,48"
000000,Neznámá obec,305,203,202,23,"0,00",14,3,17,22,0,0,"0,00","6,93",0,"0,00",28,"13,86",1,"0,49","1,48",6,"2,97",0,"0,00",0,"0,00","8,41"
000000,Neznámá obec,204,142,142,22,"0,00",5,0,17,15,0,0,"0,00","3,52",0,"0,00",16,"11,26",1,"0,70","0,00",0,"0,00",0,"0,00",1,"0,70","11,97"
000000,Neznámá obec,990,612,612,70,"0,00",37,4,77,64,0,0,"0,00","6,04",0,"0,00",38,"6,20",7,"1,14","0,65",9,"1,47",2,"0,32",0,"0,00","12,58"
000000,Neznámá obec,1426,930,923,107,"0,21",58,9,114,93,2,0,"0,00","6,28",1,"0,10",39,"4,22",12,"1,30","0,97",11,"1,19",1,"0,10",0,"0,00","12,35"
000000,Neznámá obec,356,197,196,25,"0,00",8,1,21,32,0,0,"0,00","4,08",0,"0,00",13,"6,63",3,"1,53","0,51",2,"1,02",0,"0,00",0,"0,00","10,71"
000000,Neznámá obec,53652,29228,29034,3297,"0,16",2001,203,3480,2482,49,13,"0,04","6,89",42,"0,14",1285,"4,42",433,"1,49","0,69",594,"2,04",16,"0,05",35,"0,12","11,98"
000000,Neznámá obec,822,434,430,24,"0,00",62,1,45,51,0,0,"0,00","14,41",0,"0,00",14,"3,25",5,"1,16","0,23",13,"3,02",0,"0,00",0,"0,00","10,46"
000000,Neznámá obec,228,137,136,16,"0,73",4,3,19,12,1,0,"0,00","2,94",0,"0,00",9,"6,61",2,"1,47","2,20",1,"0,73",0,"0,00",0,"0,00","13,97"
000000,Neznámá obec,446,276,275,44,"0,00",23,3,18,20,0,0,"0,00","8,36",0,"0,00",18,"6,54",5,"1,81","1,09",3,"1,09",1,"0,36",1,"0,36","6,54"
000000,Neznámá obec,484,270,269,22,"0,00",26,0,33,35,0,0,"0,00","9,66",0,"0,00",10,"3,71",7,"2,60","0,00",3,"1,11",0,"0,00",0,"0,00","12,26"
000000,Neznámá obec,173,124,124,19,"0,00",5,0,9,18,0,0,"0,00","4,03",0,"0,00",5,"4,03",1,"0,80","0,00",6,"4,83",0,"0,00",0,"0,00","7,25"
000000,Neznámá obec,89,52,52,4,"0,00",6,0,10,8,0,0,"0,00","11,53",0,"0,00",5,"9,61",0,"0,00","0,00",3,"5,76",0,"0,00",0,"0,00","19,23"
000000,Neznámá obec,63,39,39,3,"0,00",2,0,4,9,0,0,"0,00","5,12",0,"0,00",0,"0,00",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","10,25"
000000,Neznámá obec,496,338,338,49,"0,00",13,1,54,33,0,0,"0,00","3,84",0,"0,00",16,"4,73",2,"0,59","0,29",18,"5,32",0,"0,00",0,"0,00","15,97"
000000,Neznámá obec,1626,1046,1032,168,"0,09",69,13,119,107,1,0,"0,00","6,68",1,"0,09",70,"6,78",11,"1,06","1,25",18,"1,74",1,"0,09",5,"0,48","11,53"
000000,Neznámá obec,380,247,244,14,"0,00",11,3,25,42,0,0,"0,00","4,50",0,"0,00",22,"9,01",2,"0,81","1,22",4,"1,63",0,"0,00",0,"0,00","10,24"
000000,Neznámá obec,495,363,362,55,"0,55",23,1,48,46,2,0,"0,00","6,35",0,"0,00",17,"4,69",4,"1,10","0,27",1,"0,27",1,"0,27",1,"0,27","13,25"
000000,Neznámá obec,49,40,40,7,"0,00",0,0,7,3,0,0,"0,00","0,00",0,"0,00",2,"5,00",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","17,50"
000000,Neznámá obec,266,180,180,22,"1,11",15,2,28,13,2,0,"0,00","8,33",0,"0,00",7,"3,88",3,"1,66","1,11",3,"1,66",0,"0,00",0,"0,00","15,55"
000000,Neznámá obec,2410,1354,1348,113,"0,22",82,8,148,145,3,2,"0,14","6,08",1,"0,07",85,"6,30",18,"1,33","0,59",21,"1,55",1,"0,07",0,"0,00","10,97"
000000,Neznámá obec,425,333,331,50,"0,00",18,1,37,25,0,0,"0,00","5,43",0,"0,00",20,"6,04",1,"0,30","0,30",6,"1,81",2,"0,60",1,"0,30","11,17"
000000,Neznámá obec,90,66,65,7,"0,00",1,0,2,9,0,0,"0,00","1,53",0,"0,00",5,"7,69",1,"1,53","0,00",3,"4,61",0,"0,00",1,"1,53","3,07"
000000,Neznámá obec,105,68,68,3,"0,00",3,2,1,11,0,2,"2,94","4,41",0,"0,00",1,"1,47",0,"0,00","2,94",1,"1,47",0,"0,00",0,"0,00","1,47"
000000,Neznámá obec,340,226,226,24,"0,00",15,1,25,12,0,0,"0,00","6,63",0,"0,00",11,"4,86",6,"2,65","0,44",6,"2,65",0,"0,00",0,"0,00","11,06"
000000,Neznámá obec,385,276,273,48,"0,36",18,0,40,10,1,1,"0,36","6,59",0,"0,00",11,"4,02",5,"1,83","0,00",6,"2,19",0,"0,00",0,"0,00","14,65"
000000,Neznámá obec,199,136,134,30,"0,00",9,0,18,9,0,0,"0,00","6,71",0,"0,00",10,"7,46",2,"1,49","0,00",3,"2,23",0,"0,00",1,"0,74","13,43"
000000,Neznámá obec,321,192,192,17,"0,00",11,1,15,27,0,1,"0,52","5,72",1,"0,52",13,"6,77",5,"2,60","0,52",6,"3,12",0,"0,00",0,"0,00","7,81"
000000,Neznámá obec,134,80,78,9,"0,00",7,1,9,4,0,0,"0,00","8,97",0,"0,00",3,"3,84",0,"0,00","1,28",0,"0,00",0,"0,00",0,"0,00","11,53"
000000,Neznámá obec,330,184,184,23,"0,00",11,3,24,16,0,0,"0,00","5,97",0,"0,00",9,"4,89",0,"0,00","1,63",1,"0,54",0,"0,00",0,"0,00","13,04"
000000,Neznámá obec,598,388,385,49,"0,00",22,6,34,44,0,0,"0,00","5,71",1,"0,25",17,"4,41",2,"0,51","1,55",5,"1,29",2,"0,51",1,"0,25","8,83"
000000,Neznámá obec,165,98,98,4,"1,02",6,0,3,13,1,0,"0,00","6,12",0,"0,00",10,"10,20",1,"1,02","0,00",1,"1,02",0,"0,00",0,"0,00","3,06"
000000,Neznámá obec,135,86,85,11,"1,17",3,1,15,12,1,0,"0,00","3,52",1,"1,17",4,"4,70",0,"0,00","1,17",2,"2,35",0,"0,00",0,"0,00","17,64"
000000,Neznámá obec,1556,930,922,86,"0,00",78,13,92,124,0,1,"0,10","8,45",1,"0,10",49,"5,31",9,"0,97","1,40",22,"2,38",2,"0,21",2,"0,21","9,97"
000000,Neznámá obec,401,268,267,47,"0,37",14,1,29,25,1,0,"0,00","5,24",0,"0,00",17,"6,36",2,"0,74","0,37",0,"0,00",1,"0,37",1,"0,37","10,86"
000000,Neznámá obec,158,104,104,4,"0,96",5,0,13,19,1,0,"0,00","4,80",0,"0,00",9,"8,65",2,"1,92","0,00",0,"0,00",0,"0,00",0,"0,00","12,50"
000000,Neznámá obec,253,152,150,13,"0,00",17,0,14,16,0,0,"0,00","11,33",1,"0,66",15,"10,00",3,"2,00","0,00",4,"2,66",1,"0,66",0,"0,00","9,33"
000000,Neznámá obec,176,115,114,7,"0,00",2,1,11,12,0,0,"0,00","1,75",0,"0,00",5,"4,38",0,"0,00","0,87",0,"0,00",0,"0,00",0,"0,00","9,64"
000000,Neznámá obec,336,228,227,24,"0,00",23,3,15,31,0,0,"0,00","10,13",0,"0,00",9,"3,96",3,"1,32","1,32",2,"0,88",1,"0,44",1,"0,44","6,60"
000000,Neznámá obec,317,198,198,15,"0,00",10,5,24,14,0,0,"0,00","5,05",0,"0,00",13,"6,56",2,"1,01","2,52",4,"2,02",0,"0,00",1,"0,50","12,12"
000000,Neznámá obec,290,194,193,20,"0,00",6,3,31,13,0,0,"0,00","3,10",2,"1,03",13,"6,73",1,"0,51","1,55",11,"5,69",1,"0,51",0,"0,00","16,06"
000000,Neznámá obec,257,159,158,13,"0,00",5,3,20,19,0,0,"0,00","3,16",0,"0,00",8,"5,06",1,"0,63","1,89",4,"2,53",1,"0,63",0,"0,00","12,65"
000000,Neznámá obec,12020,6948,6919,857,"0,15",511,39,791,569,11,4,"0,05","7,38",5,"0,07",411,"5,94",113,"1,63","0,56",171,"2,47",8,"0,11",11,"0,15","11,43"
000000,Neznámá obec,448,291,289,32,"0,00",16,0,24,41,0,0,"0,00","5,53",0,"0,00",26,"8,99",2,"0,69","0,00",4,"1,38",0,"0,00",0,"0,00","8,30"
000000,Neznámá obec,1472,790,787,99,"0,12",54,6,68,83,1,1,"0,12","6,86",2,"0,25",68,"8,64",13,"1,65","0,76",9,"1,14",0,"0,00",0,"0,00","8,64"
000000,Neznámá obec,616,392,391,63,"0,25",15,2,51,44,1,0,"0,00","3,83",1,"0,25",34,"8,69",7,"1,79","0,51",5,"1,27",0,"0,00",0,"0,00","13,04"
000000,Neznámá obec,4432,2325,2310,186,"0,08",267,43,203,228,2,0,"0,00","11,55",3,"0,12",151,"6,53",17,"0,73","1,86",39,"1,68",1,"0,04",1,"0,04","8,78"
000000,Neznámá obec,95,45,45,5,"0,00",3,0,2,8,0,0,"0,00","6,66",0,"0,00",0,"0,00",0,"0,00","0,00",1,"2,22",0,"0,00",0,"0,00","4,44"
000000,Neznámá obec,357,215,215,31,"0,46",5,3,29,16,1,0,"0,00","2,32",0,"0,00",17,"7,90",1,"0,46","1,39",3,"1,39",0,"0,00",0,"0,00","13,48"
000000,Neznámá obec,429,306,303,52,"0,00",12,1,47,10,0,0,"0,00","3,96",0,"0,00",46,"15,18",2,"0,66","0,33",8,"2,64",1,"0,33",0,"0,00","15,51"
000000,Neznámá obec,578,364,359,47,"0,55",42,2,32,38,2,0,"0,00","11,69",0,"0,00",11,"3,06",2,"0,55","0,55",3,"0,83",2,"0,55",0,"0,00","8,91"
000000,Neznámá obec,143,79,79,11,"0,00",14,2,6,11,0,0,"0,00","17,72",0,"0,00",1,"1,26",2,"2,53","2,53",0,"0,00",0,"0,00",0,"0,00","7,59"
000000,Neznámá obec,471,283,283,34,"0,35",8,4,25,31,1,0,"0,00","2,82",0,"0,00",13,"4,59",2,"0,70","1,41",2,"0,70",0,"0,00",0,"0,00","8,83"
000000,Neznámá obec,190,144,143,27,"0,00",8,2,18,14,0,0,"0,00","5,59",0,"0,00",5,"3,49",2,"1,39","1,39",1,"0,69",0,"0,00",1,"0,69","12,58"
000000,Neznámá obec,418,246,242,19,"0,00",14,1,21,30,0,0,"0,00","5,78",0,"0,00",11,"4,54",5,"2,06","0,41",3,"1,23",0,"0,00",0,"0,00","8,67"
000000,Neznámá obec,1983,1314,1305,169,"0,15",71,8,134,121,2,2,"0,15","5,44",1,"0,07",184,"14,09",23,"1,76","0,61",17,"1,30",2,"0,15",0,"0,00","10,26"
000000,Neznámá obec,479,293,292,25,"0,00",17,2,39,32,0,0,"0,00","5,82",1,"0,34",12,"4,10",6,"2,05","0,68",4,"1,36",0,"0,00",1,"0,34","13,35"
000000,Neznámá obec,288,148,148,16,"0,00",8,1,17,18,0,0,"0,00","5,40",1,"0,67",10,"6,75",4,"2,70","0,67",3,"2,02",0,"0,00",1,"0,67","11,48"
000000,Neznámá obec,3626,2396,2376,345,"0,08",164,13,341,153,2,2,"0,08","6,90",3,"0,12",114,"4,79",38,"1,59","0,54",56,"2,35",3,"0,12",5,"0,21","14,35"
000000,Neznámá obec,1365,995,988,175,"0,10",53,13,122,49,1,0,"0,00","5,36",3,"0,30",64,"6,47",9,"0,91","1,31",13,"1,31",1,"0,10",0,"0,00","12,34"
000000,Neznámá obec,805,535,533,64,"0,00",21,3,77,39,0,0,"0,00","3,93",0,"0,00",26,"4,87",9,"1,68","0,56",12,"2,25",1,"0,18",1,"0,18","14,44"
000000,Neznámá obec,2472,1448,1440,161,"0,34",129,21,130,153,5,0,"0,00","8,95",1,"0,06",115,"7,98",29,"2,01","1,45",14,"0,97",3,"0,20",1,"0,06","9,02"
000000,Neznámá obec,1984,1223,1219,98,"0,00",93,14,140,128,0,2,"0,16","7,62",3,"0,24",42,"3,44",13,"1,06","1,14",20,"1,64",4,"0,32",1,"0,08","11,48"
000000,Neznámá obec,580,309,308,18,"0,32",26,5,29,35,1,1,"0,32","8,44",0,"0,00",19,"6,16",2,"0,64","1,62",9,"2,92",0,"0,00",0,"0,00","9,41"
000000,Neznámá obec,187,88,88,3,"2,27",7,0,8,20,2,1,"1,13","7,95",0,"0,00",0,"0,00",1,"1,13","0,00",0,"0,00",0,"0,00",0,"0,00","9,09"
000000,Neznámá obec,92,58,57,10,"0,00",2,2,2,3,0,0,"0,00","3,50",0,"0,00",5,"8,77",0,"0,00","3,50",2,"3,50",1,"1,75",0,"0,00","3,50"
000000,Neznámá obec,454,287,287,29,"0,00",20,1,39,32,0,0,"0,00","6,96",1,"0,34",32,"11,14",5,"1,74","0,34",3,"1,04",0,"0,00",1,"0,34","13,58"
000000,Neznámá obec,119,105,105,16,"0,00",10,0,9,6,0,0,"0,00","9,52",0,"0,00",17,"16,19",3,"2,85","0,00",1,"0,95",0,"0,00",0,"0,00","8,57"
000000,Neznámá obec,1806,881,876,70,"0,11",60,15,61,105,1,0,"0,00","6,84",2,"0,22",39,"4,45",13,"1,48","1,71",15,"1,71",1,"0,11",0,"0,00","6,96"
000000,Neznámá obec,701,364,364,36,"0,27",26,0,43,43,1,0,"0,00","7,14",0,"0,00",6,"1,64",6,"1,64","0,00",7,"1,92",0,"0,00",0,"0,00","11,81"
000000,Neznámá obec,151,91,91,1,"0,00",10,1,11,11,0,0,"0,00","10,98",0,"0,00",2,"2,19",1,"1,09","1,09",0,"0,00",0,"0,00",0,"0,00","12,08"
000000,Neznámá obec,645,427,425,48,"0,00",29,3,49,54,0,0,"0,00","6,82",0,"0,00",29,"6,82",6,"1,41","0,70",11,"2,58",1,"0,23",0,"0,00","11,52"
000000,Neznámá obec,487,298,296,43,"0,33",16,3,40,27,1,0,"0,00","5,40",0,"0,00",17,"5,74",3,"1,01","1,01",1,"0,33",1,"0,33",0,"0,00","13,51"
